"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2024","63,849.9","68,897.3","72,710.8","61,065.5","680.91K","-7.32%"
"03/31/2024","68,890.6","69,608.5","71,367.5","64,559.0","649.77K","-1.04%"
"03/24/2024","69,611.5","64,036.5","71,670.8","63,812.9","583.25K","8.70%"
"03/17/2024","64,037.8","65,314.2","68,920.1","60,850.9","644.98K","-1.95%"
"03/10/2024","65,314.2","68,360.7","73,740.9","64,971.0","753.56K","-4.46%"
"03/03/2024","68,366.5","61,955.6","69,904.0","60,138.2","796.49K","10.28%"
"02/25/2024","61,994.5","51,572.1","63,915.3","50,925.2","642.90K","20.21%"
"02/18/2024","51,571.6","51,646.0","52,936.8","50,537.6","327.44K","-0.14%"
"02/11/2024","51,646.0","47,759.3","52,819.4","47,590.2","455.62K","8.14%"
"02/04/2024","47,758.2","43,006.2","48,149.0","42,272.5","402.98K","11.05%"
"01/28/2024","43,005.7","42,121.3","43,817.9","41,649.0","320.49K","2.10%"
"01/21/2024","42,120.9","41,695.4","42,214.8","38,546.9","427.70K","1.02%"
"01/14/2024","41,695.4","42,851.3","43,563.7","40,305.4","418.57K","-2.70%"
"01/07/2024","42,851.3","43,973.5","48,923.7","41,857.9","771.35K","-2.54%"
"12/31/2023","43,967.9","42,141.6","45,885.4","40,888.3","482.41K","4.35%"
"12/24/2023","42,136.7","43,710.4","43,935.7","41,459.0","338.09K","-3.60%"
"12/17/2023","43,710.4","42,271.7","44,394.6","40,554.0","358.37K","3.40%"
"12/10/2023","42,271.7","43,716.6","44,045.4","40,277.1","399.45K","-3.31%"
"12/03/2023","43,718.4","39,456.8","44,697.6","39,280.3","488.43K","10.80%"
"11/26/2023","39,458.4","37,786.4","39,673.4","36,751.5","337.81K","4.42%"
"11/19/2023","37,787.0","36,568.6","38,400.8","35,695.6","377.06K","3.33%"
"11/12/2023","36,568.6","37,149.0","37,954.1","34,984.3","371.77K","-1.57%"
"11/05/2023","37,150.5","35,065.8","37,942.0","34,536.9","395.79K","5.95%"
"10/29/2023","35,065.8","34,082.6","35,907.6","33,937.6","356.78K","2.88%"
"10/22/2023","34,082.6","29,912.7","35,191.4","29,713.6","546.20K","13.94%"
"10/15/2023","29,912.9","26,852.8","30,264.8","26,812.6","453.75K","11.40%"
"10/08/2023","26,852.8","27,961.1","28,097.5","26,558.4","258.44K","-3.96%"
